,image,player
0,eda97f557b.jpg,virat_kohli
1,273ed0f2b9.jpg,hardik_pandya
2,77076b6409.jpg,jasprit_bumrah
3,f028e2dcf8.jpg,mohammed_shami
4,3364f861e1.jpg,kedar_jadhav
5,039dfad839.jpg,kedar_jadhav
6,3fe4fb9154.jpg,ravindra_jadeja
7,8bfb807a16.jpg,ravindra_jadeja
8,76976c6783.jpg,ravindra_jadeja
9,08c11ff5bd.jpg,shikhar_dhawan
10,7a6df31c12.jpg,kuldeep_yadav
11,d12a9577b5.jpg,virat_kohli
12,8c580c8e93.jpg,k._l._rahul
13,3a665cf4da.jpg,shikhar_dhawan
14,d14e8a6479.jpg,k._l._rahul
15,6cde769588.jpg,kuldeep_yadav
16,be12e13cb6.jpg,jasprit_bumrah
17,eafb31d0f4.jpg,vijay_shankar
18,27fe10a574.jpg,hardik_pandya
19,59dfbc272a.jpg,rohit_sharma
20,48df89cad7.jpg,vijay_shankar
21,cb391dff3a.jpg,mohammed_shami
22,a04aea282d.jpg,mohammed_shami
23,c039b00044.jpg,kedar_jadhav
24,6c6c8a6bf7.jpg,shikhar_dhawan
25,6f4fa7dbff.jpg,yuzvendra_chahal
26,fdae0c1962.jpg,mohammed_shami
27,246fda85b7.jpg,rohit_sharma
28,0e9c1d202b.jpg,shikhar_dhawan
29,ad36410a31.jpg,hardik_pandya
30,52c3814e2f.jpg,ravindra_jadeja
31,8a56b6a80f.jpg,shikhar_dhawan
32,e26a9338ae.jpg,kuldeep_yadav
33,50f5c09c06.jpg,ravindra_jadeja
34,e959ddac3b.jpg,virat_kohli
35,0f70655b46.jpg,hardik_pandya
36,41b28f935b.jpg,ms_dhoni
37,b57feb8bce.jpg,kedar_jadhav
38,f00bd50817.jpg,ravindra_jadeja
39,db83c34579.jpg,kedar_jadhav
40,606410792f.jpg,ravindra_jadeja
41,d2cc2539a3.jpg,ravindra_jadeja
42,53733f9139.jpg,virat_kohli
43,06773469f0.jpg,jasprit_bumrah
44,f0e058b89f.jpg,kuldeep_yadav
45,676f677b22.jpg,dinesh_karthik
46,9365e87c2f.jpg,ravindra_jadeja
